customer_id,age,gender,marital_status,education_level,annual_income,loan_amount,credit_score,employment_years,employment_type,loan_purpose,home_ownership,debt_to_income_ratio,existing_loans,loan_term_months,interest_rate,loan_status,application_date
311621071,47,Male,Single,PhD,17331.8,452629.07,682,25,Part-time,Business,Mortgage,0.129,2,24,9.28,Rejected,2019-11-06
255253104,25,Male,Single,Master,9079.24,353758.27,578,16,Part-time,Personal,Rent,0.405,0,60,22.69,Approved,2020-06-07
192841080,39,Male,Married,Bachelor,46310.23,153319.94,693,29,Full-time,Home,Other,0.048,2,120,21.79,Approved,2016-02-25
965861027,56,Male,Married,Bachelor,48332.75,37924.82,717,19,Full-time,Home,Own,0.029,1,36,9.91,Approved,2022-11-25
984431548,67,Male,Single,Bachelor,12383.67,404542.92,742,18,Full-time,Car,Other,0.783,2,360,7.37,Rejected,2015-10-13
324506058,32,Female,Single,PhD,35348.24,46340.67,743,24,Self-employed,Home,Own,0.376,1,360,2.85,Approved,2022-07-01
513123400,61,Male,Married,Bachelor,69649.42,303174.94,715,7,Part-time,Business,Mortgage,0.209,1,36,3.47,Approved,2024-03-24
487998143,56,Female,Married,Bachelor,45654.19,173705.69,691,13,Unemployed,Home,Mortgage,0.083,1,60,15.42,Approved,2022-10-25
672263662,57,Female,Single,Bachelor,155966.74,12400.56,515,32,Full-time,Personal,Own,0.323,2,24,15.98,Approved,2017-05-26
139954149,19,Male,Single,PhD,50337.98,46225.85,756,35,Part-time,Business,Rent,0.468,2,48,18.49,Approved,2015-09-10
676599494,19,Male,Single,High School,41559.92,430246.14,795,12,Full-time,Education,Own,0.493,2,360,7.39,Rejected,2021-09-16
188775989,58,Male,Married,Master,22034.35,284584.05,724,35,Full-time,Education,Own,0.633,1,48,6.51,Rejected,2020-05-29
800783907,45,Male,Single,Master,38313.48,300870.7,754,32,Full-time,Business,Other,0.228,0,36,24.18,Rejected,2023-10-27
283642480,35,Female,Married,Diploma,36590.75,4542.53,569,17,Self-employed,Medical,Mortgage,0.357,2,36,7.98,Approved,2024-06-04
309131791,21,Female,Single,Bachelor,145509.8,121064.78,735,3,Unemployed,Business,Mortgage,0.088,1,48,14.23,Rejected,2018-10-10
681595994,55,Male,Married,Diploma,53739.72,151237.01,787,0,Full-time,Personal,Rent,0.061,2,60,7.86,Approved,2023-05-23
431625500,40,Female,Single,Master,21696.21,367558.23,813,4,Part-time,Education,Mortgage,0.04,0,24,21.72,Approved,2016-07-04
750650757,73,Female,Widowed,Bachelor,121611.6,374549.86,741,25,Unemployed,Business,Rent,0.472,1,360,24.37,Approved,2023-10-27
333533675,50,Other,Married,High School,40301.36,388303.55,777,32,Full-time,Personal,Mortgage,0.808,4,120,6.61,Approved,2017-11-16
314182841,29,Male,Divorced,Master,99637.46,450944.25,663,35,Self-employed,Home,Own,0.269,4,180,5.73,Rejected,2019-04-22
526458956,63,Male,Married,Bachelor,17649.49,152177.55,656,6,Full-time,Personal,Mortgage,0.216,0,240,14.11,Approved,2015-07-01
175255582,51,Female,Single,High School,63653.24,255881.38,523,26,Full-time,Business,Rent,0.327,2,12,20.66,Approved,2015-04-01
321043660,27,Female,Married,Bachelor,57604.88,408726.2,810,18,Full-time,Personal,Rent,0.067,4,240,16.65,Rejected,2016-09-04
523480217,53,Female,Single,Master,51311.67,418438.67,641,0,Full-time,Home,Mortgage,0.56,4,48,4.59,Approved,2016-05-10
