customer_id,age,gender,marital_status,education_level,annual_income,loan_amount,credit_score,employment_years,employment_type,loan_purpose,home_ownership,debt_to_income_ratio,existing_loans,loan_term_months,interest_rate,loan_status,application_date,Loan_to_Income_Ratio,monthly_income,monthly_existing_debt_payment,employment_to_age_ratio,is_overextended_subprime,month
311621071,47,Male,Single,PhD,17331.8,452629.07,682,25,Part-time,Business,Mortgage,0.129,2,24,9.28,Rejected,2019-11-06,26.12,1444.32,186.32,0.53,0,11
255253104,25,Male,Single,Master,9079.24,353758.27,578,16,Part-time,Personal,Rent,0.405,0,60,22.69,Approved,2020-06-07,38.96,756.6,306.42,0.64,0,6
192841080,39,Male,Married,Bachelor,46310.23,153319.94,693,29,Full-time,Home,Other,0.048,2,120,21.79,Approved,2016-02-25,3.31,3859.19,185.24,0.74,0,2
965861027,56,Male,Married,Bachelor,48332.75,37924.82,717,19,Full-time,Home,Own,0.029,1,36,9.91,Approved,2022-11-25,0.78,4027.73,116.8,0.34,0,11
984431548,67,Male,Single,Bachelor,12383.67,404542.92,742,18,Full-time,Car,Other,0.783,2,360,7.37,Rejected,2015-10-13,32.67,1031.97,808.03,0.27,0,10
324506058,32,Female,Single,PhD,35348.24,46340.67,743,24,Self-employed,Home,Own,0.376,1,360,2.85,Approved,2022-07-01,1.31,2945.69,1107.58,0.75,0,7
513123400,61,Male,Married,Bachelor,69649.42,303174.94,715,7,Part-time,Business,Mortgage,0.209,1,36,3.47,Approved,2024-03-24,4.35,5804.12,1213.06,0.11,0,3
487998143,56,Female,Married,Bachelor,45654.19,173705.69,691,13,Unemployed,Home,Mortgage,0.083,1,60,15.42,Approved,2022-10-25,3.8,3804.52,315.78,0.23,0,10
672263662,57,Female,Single,Bachelor,155966.74,12400.56,515,32,Full-time,Personal,Own,0.323,2,24,15.98,Approved,2017-05-26,0.08,12997.23,4198.11,0.56,0,5
139954149,19,Male,Single,PhD,50337.98,46225.85,756,35,Part-time,Business,Rent,0.468,2,48,18.49,Approved,2015-09-10,0.92,4194.83,1963.18,1.84,0,9
676599494,19,Male,Single,High School,41559.92,430246.14,795,12,Full-time,Education,Own,0.493,2,360,7.39,Rejected,2021-09-16,10.35,3463.33,1707.42,0.63,0,9
188775989,58,Male,Married,Master,22034.35,284584.05,724,35,Full-time,Education,Own,0.633,1,48,6.51,Rejected,2020-05-29,12.92,1836.2,1162.31,0.6,0,5
800783907,45,Male,Single,Master,38313.48,300870.7,754,32,Full-time,Business,Other,0.228,0,36,24.18,Rejected,2023-10-27,7.85,3192.79,727.96,0.71,0,10
283642480,35,Female,Married,Diploma,36590.75,4542.53,569,17,Self-employed,Medical,Mortgage,0.357,2,36,7.98,Approved,2024-06-04,0.12,3049.23,1088.58,0.49,0,6
309131791,21,Female,Single,Bachelor,145509.8,121064.78,735,3,Unemployed,Business,Mortgage,0.088,1,48,14.23,Rejected,2018-10-10,0.83,12125.82,1067.07,0.14,0,10
681595994,55,Male,Married,Diploma,53739.72,151237.01,787,0,Full-time,Personal,Rent,0.061,2,60,7.86,Approved,2023-05-23,2.81,4478.31,273.18,0.0,0,5
431625500,40,Female,Single,Master,21696.21,367558.23,813,4,Part-time,Education,Mortgage,0.04,0,24,21.72,Approved,2016-07-04,16.94,1808.02,72.32,0.1,0,7
750650757,73,Female,Widowed,Bachelor,121611.6,374549.86,741,25,Unemployed,Business,Rent,0.472,1,360,24.37,Approved,2023-10-27,3.08,10134.3,4783.39,0.34,0,10
333533675,50,Other,Married,High School,40301.36,388303.55,777,32,Full-time,Personal,Mortgage,0.808,4,120,6.61,Approved,2017-11-16,9.63,3358.45,2713.63,0.64,0,11
314182841,29,Male,Divorced,Master,99637.46,450944.25,663,35,Self-employed,Home,Own,0.269,4,180,5.73,Rejected,2019-04-22,4.53,8303.12,2233.54,1.21,1,4
526458956,63,Male,Married,Bachelor,17649.49,152177.55,656,6,Full-time,Personal,Mortgage,0.216,0,240,14.11,Approved,2015-07-01,8.62,1470.79,317.69,0.1,0,7
175255582,51,Female,Single,High School,63653.24,255881.38,523,26,Full-time,Business,Rent,0.327,2,12,20.66,Approved,2015-04-01,4.02,5304.44,1734.55,0.51,0,4
321043660,27,Female,Married,Bachelor,57604.88,408726.2,810,18,Full-time,Personal,Rent,0.067,4,240,16.65,Rejected,2016-09-04,7.1,4800.41,321.63,0.67,0,9
523480217,53,Female,Single,Master,51311.67,418438.67,641,0,Full-time,Home,Mortgage,0.56,4,48,4.59,Approved,2016-05-10,8.15,4275.97,2394.54,0.0,1,5
531082703,53,Female,Single,PhD,22364.82,434705.3,755,37,Full-time,Car,Own,0.117,1,240,23.82,Rejected,2016-09-03,19.44,1863.74,218.06,0.7,0,9
567676730,70,Male,Single,PhD,37248.16,496311.44,444,20,Unemployed,Home,Rent,0.402,3,360,16.24,Approved,2015-05-18,13.32,3104.01,1247.81,0.29,1,5
844414642,50,Male,Single,Bachelor,34957.51,446886.76,715,21,Self-employed,Home,Mortgage,0.34,3,24,4.58,Approved,2016-07-08,12.78,2913.13,990.46,0.42,0,7
265120615,40,Male,Single,Master,26086.99,314368.17,630,29,Full-time,Business,Rent,0.242,0,120,10.34,Approved,2023-04-11,12.05,2173.92,526.09,0.72,0,4
235250539,69,Female,Widowed,High School,34821.72,432842.36,623,24,Part-time,Education,Own,0.483,1,60,8.18,Approved,2020-04-09,12.43,2901.81,1401.57,0.35,0,4
401010223,70,Female,Married,Bachelor,23262.11,104171.76,657,16,Unemployed,Personal,Own,0.569,0,60,9.05,Approved,2019-08-14,4.48,1938.51,1103.01,0.23,0,8
749813522,36,Female,Married,Bachelor,56326.31,328699.53,797,19,Unemployed,Business,Mortgage,0.821,3,12,4.04,Approved,2015-10-03,5.84,4693.86,3853.66,0.53,0,10
230710823,35,Male,Single,Bachelor,41231.29,198308.28,780,16,Full-time,Education,Own,0.369,0,24,19.22,Approved,2015-12-22,4.81,3435.94,1267.86,0.46,0,12
