Name,Discounted Price,Actual Price,Saving(%),Rating,Reviews,Brand,Core,SSD,Model
Apple MacBook Air 13 M1 MGN63 (8GB-256GB),203499.0,258000.0,21,5,2,Apple,M1,256GB,MacBook Air 13 M1 MGN63
Apple Macbook Air 13 MW123 M4 Chip,281999.0,350000.0,19,4,5,Apple,M4,256GB,Macbook Air 13 MW123 M4 Chip
ASUS Zenbook 14 UX3405CA Intel Core Ultra 7 255H (16GB-512GB SSD),285999.0,330000.0,13,0,0,Asus,Ultra 7,512GB,Zenbook 14 UX3405CA Intel Core Ultra 7 255H
Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 7 (16GB-512GB),287999.0,340000.0,15,0,0,Lenovo,Ultra 7,512GB,ThinkPad E16 Gen 2 - Intel Core Ultra 7
Lenovo IdeaPad Slim 3 Ryzen 7 (8GB-512GB),146999.0,175000.0,16,0,0,Lenovo,Ryzen 7,512GB,IdeaPad Slim 3 Ryzen 7
HP 250 G10 Ci3 N305 (8GB-512GB SSD),115999.0,144999.0,20,0,0,Hp,Core i3,512GB,250 G10 Ci3 N305
Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD) 15.6 FHD,169999.0,249999.0,32,5,1,Dell,Core i5,256GB,Latitude 3540 Ci5-1335U  15.6 FHD
Dell Latitude 15 5540 15.6 Inches 13th Gen Core i7 DOS (8GB - 512GB),343999.0,415000.0,17,0,0,Dell,Core i7,512GB,Latitude 15 5540 15.6 Inches 13th Gen Core i7 DOS
Dell Latitude 15 3540 15.6 Inches 13th Gen Core i7 DOS (8GB - 512GB),251999.0,320000.0,21,0,0,Dell,Core i7,512GB,Latitude 15 3540 15.6 Inches 13th Gen Core i7 DOS
Lenovo IdeaPad Slim 3 Core i5 13th Gen,134999.0,174999.0,23,5,2,Lenovo,Core i5,512GB,IdeaPad Slim 3 Core i5 13th Gen
HP Probook 450 G10 Core i5 13th Gen 1335U,179999.0,200000.0,10,3,1,Hp,Core i5,512GB,Probook 450 G10 Core i5 13th Gen 1335U
Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i7 (8GB - 512GB),277999.0,300000.0,7,0,0,Lenovo,Core i7,512GB,ThinkPad E16 G1 14 Inches 13th Gen Core i7
Lenovo LOQ 15  Inches 13th Gen Core i7 (16GB - 512GB),324999.0,380000.0,14,0,0,Lenovo,Core i7,512GB,LOQ 15  Inches 13th Gen Core i7
HP 15s FQ2653TU 11th Gen  Core i7 (8GB-512GB),160999.0,180000.0,11,0,0,Hp,Core i7,512GB,15s FQ2653TU 11th Gen  Core i7
HP OMEN 16-WD0073dx Ci7-13620H (16GB - 1TB) RTX-4060-8GB,365999.0,390000.0,6,0,0,Hp,Core i7,1TB,OMEN 16-WD0073dx Ci7-13620H  RTX-4060-8GB
