attendance_id,student_id,course_id,lecture_date,status
ATT000000,STU00784,CRS010,2026-06-25,Late
ATT000001,STU00888,CRS003,2026-05-28,Absent
ATT000002,STU00096,CRS015,2026-06-03,Absent
ATT000003,STU00173,CRS010,2026-04-11,Present
ATT000004,STU00069,CRS009,2026-06-17,Late
ATT000005,STU00372,CRS012,2026-04-12,Present
ATT000006,STU00072,CRS006,2026-05-30,Late
ATT000007,STU00790,CRS015,2026-06-20,Absent
ATT000008,STU00484,CRS009,2026-05-21,Absent
ATT000009,STU00665,CRS005,2026-06-27,Present
ATT000010,STU00995,CRS019,2026-06-20,Absent
ATT000011,STU00040,CRS012,2026-06-02,Absent
ATT000012,STU00410,CRS014,2026-04-23,Late
ATT000013,STU00939,CRS005,2026-05-13,Absent
ATT000014,STU00375,CRS017,2026-06-24,Late
ATT000015,STU00974,CRS011,2026-05-28,Absent
ATT000016,STU00085,CRS014,2026-06-23,Late
ATT000017,STU00460,CRS009,2026-04-25,Late
ATT000018,STU00043,CRS020,2026-05-09,Late
ATT000019,STU00058,CRS008,2026-06-21,Late
ATT000020,STU00840,CRS018,2026-06-09,Present
ATT000021,STU00158,CRS004,2026-04-30,Absent
ATT000022,STU00384,CRS006,2026-04-15,Late
ATT000023,STU00408,CRS003,2026-04-07,Present
ATT000024,STU00397,CRS015,2026-06-09,Late
ATT000025,STU00095,CRS012,2026-05-05,Absent
ATT000026,STU00479,CRS018,2026-04-30,Absent
ATT000027,STU00111,CRS003,2026-04-06,Present
ATT000028,STU00749,CRS004,2026-06-26,Absent
ATT000029,STU00786,CRS014,2026-04-24,Present
ATT000030,STU00411,CRS011,2026-05-10,Present
ATT000031,STU00324,CRS011,2026-05-15,Late
ATT000032,STU00497,CRS007,2026-06-23,Late
ATT000033,STU00759,CRS016,2026-05-25,Present
ATT000034,STU00285,CRS015,2026-04-17,Present
ATT000035,STU00558,CRS005,2026-05-15,Absent
ATT000036,STU00149,CRS007,2026-04-13,Absent
ATT000037,STU00581,CRS002,2026-06-09,Late
ATT000038,STU00792,CRS013,2026-04-20,Present
ATT000039,STU00958,CRS012,2026-05-28,Absent
ATT000040,STU00484,CRS007,2026-06-22,Present
ATT000041,STU00216,CRS001,2026-06-04,Late
ATT000042,STU00433,CRS009,2026-04-10,Absent
ATT000043,STU00650,CRS006,2026-04-07,Present
ATT000044,STU00145,CRS003,2026-05-22,Absent
ATT000045,STU00414,CRS003,2026-04-23,Absent
ATT000046,STU00894,CRS015,2026-05-11,Absent
ATT000047,STU00537,CRS007,2026-06-20,Late
ATT000048,STU00914,CRS009,2026-04-14,Present
ATT000049,STU00850,CRS002,2026-05-28,Present
ATT000050,STU00916,CRS014,2026-06-23,Absent
ATT000051,STU00986,CRS010,2026-05-30,Present
ATT000052,STU00203,CRS012,2026-04-24,Absent
ATT000053,STU00493,CRS016,2026-06-03,Late
ATT000054,STU00705,CRS006,2026-06-21,Late
ATT000055,STU00447,CRS012,2026-05-22,Late
ATT000056,STU00584,CRS013,2026-05-17,Present
ATT000057,STU00574,CRS020,2026-06-24,Present
ATT000058,STU00079,CRS019,2026-05-15,Late
ATT000059,STU00148,CRS011,2026-05-10,Late
ATT000060,STU00843,CRS011,2026-06-15,Present
ATT000061,STU00154,CRS015,2026-06-10,Present
ATT000062,STU00511,CRS011,2026-06-10,Present
ATT000063,STU00811,CRS014,2026-05-19,Absent
ATT000064,STU00533,CRS001,2026-04-01,Absent
ATT000065,STU00965,CRS005,2026-06-25,Late
ATT000066,STU00460,CRS019,2026-06-13,Present
ATT000067,STU00037,CRS007,2026-05-14,Late
ATT000068,STU00192,CRS014,2026-05-22,Late
ATT000069,STU00559,CRS006,2026-06-24,Late
ATT000070,STU00386,CRS007,2026-05-03,Absent
ATT000071,STU00214,CRS007,2026-06-01,Late
ATT000072,STU00590,CRS001,2026-05-07,Absent
ATT000073,STU00833,CRS012,2026-05-27,Present
ATT000074,STU00309,CRS010,2026-06-26,Late
ATT000075,STU00838,CRS004,2026-04-09,Late
ATT000076,STU00511,CRS015,2026-05-19,Absent
ATT000077,STU00420,CRS012,2026-06-26,Absent
ATT000078,STU00848,CRS018,2026-04-08,Absent
ATT000079,STU00535,CRS011,2026-05-12,Present
ATT000080,STU00948,CRS006,2026-06-08,Absent
ATT000081,STU00438,CRS012,2026-05-29,Present
ATT000082,STU00566,CRS020,2026-04-16,Present
ATT000083,STU00555,CRS014,2026-04-04,Absent
ATT000084,STU00291,CRS014,2026-05-05,Late
ATT000085,STU00290,CRS020,2026-04-18,Present
ATT000086,STU00089,CRS004,2026-06-02,Present
ATT000087,STU00665,CRS001,2026-06-20,Late
ATT000088,STU00954,CRS014,2026-05-27,Present
ATT000089,STU00508,CRS020,2026-05-03,Late
ATT000090,STU00102,CRS015,2026-04-08,Late
ATT000091,STU00595,CRS002,2026-05-27,Late
ATT000092,STU00296,CRS014,2026-06-06,Present
ATT000093,STU00228,CRS015,2026-04-13,Late
ATT000094,STU00390,CRS004,2026-04-18,Present
ATT000095,STU00876,CRS016,2026-06-04,Present
ATT000096,STU00359,CRS015,2026-05-24,Absent
ATT000097,STU00929,CRS013,2026-05-15,Present
ATT000098,STU00962,CRS012,2026-04-06,Present
ATT000099,STU00519,CRS010,2026-05-19,Absent
ATT000100,STU00900,CRS009,2026-04-28,Absent
ATT000101,STU00858,CRS014,2026-05-19,Late
ATT000102,STU00247,CRS001,2026-06-15,Absent
ATT000103,STU00033,CRS001,2026-05-11,Present
ATT000104,STU00157,CRS012,2026-06-29,Late
ATT000105,STU00839,CRS020,2026-04-04,Absent
ATT000106,STU00343,CRS006,2026-04-06,Late
ATT000107,STU00440,CRS008,2026-06-10,Late
ATT000108,STU00996,CRS013,2026-04-04,Present
ATT000109,STU00631,CRS013,2026-04-11,Present
ATT000110,STU00820,CRS019,2026-06-12,Absent
ATT000111,STU00131,CRS013,2026-05-31,Late
ATT000112,STU00177,CRS013,2026-05-12,Absent
ATT000113,STU00529,CRS006,2026-06-01,Absent
ATT000114,STU00236,CRS004,2026-06-18,Late
ATT000115,STU00820,CRS005,2026-04-14,Late
ATT000116,STU00121,CRS019,2026-05-23,Absent
ATT000117,STU00863,CRS009,2026-06-23,Late
ATT000118,STU00162,CRS011,2026-04-04,Present
ATT000119,STU00095,CRS003,2026-04-13,Present
ATT000120,STU00447,CRS001,2026-05-29,Late
ATT000121,STU00788,CRS019,2026-05-13,Present
ATT000122,STU00028,CRS020,2026-06-22,Late
ATT000123,STU00556,CRS003,2026-04-05,Late
ATT000124,STU00391,CRS001,2026-06-03,Late
ATT000125,STU00751,CRS005,2026-04-12,Absent
ATT000126,STU00649,CRS012,2026-04-16,Present
ATT000127,STU00245,CRS008,2026-04-05,Absent
ATT000128,STU00198,CRS018,2026-04-28,Present
ATT000129,STU00743,CRS013,2026-06-11,Absent
ATT000130,STU00675,CRS002,2026-05-12,Absent
ATT000131,STU00084,CRS005,2026-04-16,Late
ATT000132,STU00023,CRS019,2026-05-24,Present
ATT000133,STU00113,CRS015,2026-06-13,Late
ATT000134,STU00125,CRS004,2026-04-10,Present
ATT000135,STU00289,CRS009,2026-05-15,Present
ATT000136,STU00095,CRS003,2026-06-11,Absent
ATT000137,STU00864,CRS012,2026-04-20,Present
ATT000138,STU00400,CRS004,2026-06-12,Absent
ATT000139,STU00814,CRS001,2026-05-09,Absent
ATT000140,STU00075,CRS016,2026-06-13,Late
ATT000141,STU00078,CRS007,2026-06-28,Late
ATT000142,STU00429,CRS013,2026-06-01,Absent
ATT000143,STU00648,CRS015,2026-04-30,Present
ATT000144,STU00184,CRS010,2026-06-27,Present
ATT000145,STU00925,CRS006,2026-05-22,Late
ATT000146,STU00580,CRS020,2026-04-13,Present
ATT000147,STU00120,CRS011,2026-06-15,Absent
ATT000148,STU00495,CRS020,2026-06-11,Late
ATT000149,STU00559,CRS001,2026-06-08,Present
ATT000150,STU00534,CRS009,2026-05-24,Present
ATT000151,STU00197,CRS020,2026-05-01,Present
ATT000152,STU00548,CRS001,2026-04-11,Late
ATT000153,STU00524,CRS005,2026-04-13,Present
ATT000154,STU00887,CRS012,2026-05-08,Present
ATT000155,STU00920,CRS007,2026-06-02,Present
ATT000156,STU00335,CRS005,2026-05-20,Present
ATT000157,STU00085,CRS005,2026-05-10,Absent
ATT000158,STU00280,CRS016,2026-06-23,Present
ATT000159,STU00976,CRS003,2026-04-04,Absent
ATT000160,STU00725,CRS018,2026-04-09,Late
ATT000161,STU00301,CRS015,2026-06-16,Late
ATT000162,STU00828,CRS016,2026-05-26,Absent
ATT000163,STU00524,CRS013,2026-06-09,Present
ATT000164,STU00256,CRS006,2026-04-02,Present
ATT000165,STU00703,CRS009,2026-05-14,Absent
ATT000166,STU00105,CRS019,2026-04-01,Late
ATT000167,STU00319,CRS006,2026-04-17,Present
ATT000168,STU00976,CRS016,2026-04-09,Absent
ATT000169,STU00904,CRS015,2026-05-29,Absent
ATT000170,STU00610,CRS009,2026-06-19,Absent
ATT000171,STU00637,CRS004,2026-05-08,Late
ATT000172,STU00392,CRS014,2026-06-12,Present
ATT000173,STU00580,CRS012,2026-06-09,Absent
ATT000174,STU00919,CRS003,2026-06-02,Absent
ATT000175,STU00171,CRS002,2026-04-19,Late
ATT000176,STU00259,CRS019,2026-05-28,Absent
ATT000177,STU00300,CRS020,2026-05-18,Late
ATT000178,STU00973,CRS017,2026-05-08,Absent
ATT000179,STU00407,CRS001,2026-06-24,Present
ATT000180,STU00184,CRS011,2026-05-25,Absent
ATT000181,STU00809,CRS006,2026-04-04,Absent
ATT000182,STU00251,CRS003,2026-04-17,Present
ATT000183,STU00672,CRS012,2026-05-15,Absent
ATT000184,STU00148,CRS011,2026-06-25,Present
ATT000185,STU00009,CRS011,2026-05-27,Late
ATT000186,STU00011,CRS011,2026-06-10,Present
ATT000187,STU00476,CRS019,2026-05-02,Absent
ATT000188,STU00920,CRS008,2026-04-01,Late
ATT000189,STU00067,CRS013,2026-04-22,Absent
ATT000190,STU00616,CRS007,2026-04-11,Late
